Categorize,Sentences
subjective,Never fail to make me laugh.
Objective,They made everyone's favorite Doctor Who episode into a movie?
subjective,Maybe try something that can guess at pronunciation?
Objective,This approach is also good for spell checking.
Objective,"Some databases even have functions for this, although I'm no exactly sure what it would do with your example."
subjective,Scorsese has got a few underrated classics.
subjective,"After hours, Aviator  and last temptation of Christ  are all very good"
subjective,I‰Ûªll second the the amount of busywork was insane.
subjective,It should be an easy class in theory.
Objective,Would you rather I talk about Secret Life of Pets or Sing?
subjective,Illumination makes a lot of bad movies
Objective,Still wearing his mask wrong
Objective,"Thank you, yupitsGoV, for voting on LimbRetrieval-Bot."
Objective,This bot wants to find the best and worst bots on Reddit.
Objective,[You can view results here].
Objective,"I‰Ûªm an applicant on contract right now, about to finish freshman year."
Objective,Also a math major.
subjective,I have a good idea that I‰Ûªm going to get into the major based off my grades.
subjective,Overall it‰Ûªs your decision and how much risk you‰Ûªre willing to take.
subjective,I would say that transferring into the CS major was a lot easier than I thought.
subjective,"Whichever decision you make, I‰Ûªm sure you will do just fine."
Objective,Was this IMAX version ever released in the US?
Objective,Or is this it?
subjective,"Good film, I enjoyed it."
subjective,"Ignore the flak it received, people were canceling this film without even seeing it."
subjective,"Summing the vectors dimension-wise should work, shouldn‰Ûªt it?"
subjective,Very interesting and seems very fitting for my use case.
Objective,"ie the answer just being: ""The Ocean Blue""      I'll need to test a bit."
subjective,Personally it's always been a technical masterpiece over a film I actively adore.
subjective,"That said, I watched it a few years ago  and it resonated significantly more."
subjective,Perhaps I just wasn't mature enough to understand the themes.
Objective,That's what all of them say before their corpses are at the bottom of the pond.
Objective,It also introduced teenagers everywhere to Angelina Jolie's boobs.
Objective,I will research about that too!
Objective,"Also, if you didn't know,  the last scene  was secretly filmed by Sean Baker on his iPhone."
Objective,I‰Ûªve recommended this to so many people in the last month - just isn‰Ûªt getting the kudos it deserves!
subjective,Everything I want out of a movie to be honest
Objective,You just asked about her husband in another post and its pretty much the same story.
subjective,"I'm sick of this place trying to defend this softcore child porn ""movie""."
Objective,Most negative reviews ask the authors to submit the paper and resource to LREC.
Objective,"Though there is an effort by EMNLP 2020 PCs, ACs to disallow such reviews."
subjective,Anna Rogers has a good take on this : [[link]
subjective,Looks we have a new contender for [BunnyIpPouch's] replacement!
subjective,Our break from trash posts is over
Objective,I work in gorman and there is no algorithm to why which students  get placed where.
subjective,I think that would be racist.
subjective,Wheeler has a better community because it is a smaller building.
Objective,and it has always been that way.
Objective,If I remember correctly on the commentary they mention this being a cheat.
subjective,Anyone else notice the billboard in Steve Lifts mansion?
subjective,Hoping they keep Charles Martinet as Mario.
subjective,i think 2015 had some pretty strong movies.
subjective,i'm all biopic'ed out.
subjective,plus those Oscar bait type movies are getting rewarded over other better movies virtually every year
Objective,"People think he could be bi based on like... a lot, honestly... but he's never confirmed anything."
subjective,Ive never been so captivated by a trailer.
subjective,They truly nailed the atmosphere
Objective,Maybe it was the first and only one he saw?
Objective,I didn‰Ûªt get any change in my account :( at least it‰Ûªs not adding.
Objective,When is this stuff supposed to come out by?
subjective,Not a fan of it tbh.
Objective,I finally just watched this the other day.
subjective,I thought it was pretty great and Jeff Brdges and Karen Allen are excellent.
subjective,Its a like a Sci Fi road movie.
Objective,The hive battle from Aliens [[link]  Special mention to the sounds of pulse rifles and the motion tracker.
Objective,I saw their reedit.
Objective,how long until holland stops playing teenagers in film?
subjective,I thought this film was great and was very misunderstood.
subjective,This was the first time I thought both the Rock and Justin Timberlake could act.
Objective,Also it has Wave Of Mutilation and All These Things That I've Done.
Objective,Was it the mini series of Dinotopia
subjective,There's a beautiful scene with her in the shower after the stairwell fight.
Objective,It foreshadows her final scene in the movie.
subjective,"International Graphic Novel‰Ûªs great and really interesting, but you do have to write a 10 page paper"
subjective,Thank you so much.
subjective,I really appreciate it!
Objective,I think I actually follow you on GitHub haha :)
Objective,"Yes, i led the second session!"
subjective,When will this be released?
Objective,Imagine if you'd produced a Bill Cosby biopic 10 years ago...*not the ending we all expected*.
Objective,I‰Ûªm on the 1st floor
subjective,I love this movie!
subjective,Everyone in it is great.
subjective,Just not experienced enough yet to know even what I‰Ûªm looking for.
Objective,"Particularly given that, even in the 1930s, it wouldn't have been that fast a trip to get there."
subjective,Ooh Sneakers is the best!
subjective,My voice is my passport!
subjective,Dude watching this movie with 0 insight whatsoever was awesome.
subjective,The last 1/4 of the movie got wild.
subjective,By far the coolest professor I ever had in my time at UMass.
subjective,Sorry to hear that this happened to him.
Objective,And it may have.
Objective,"We have no data from Disney about how much they‰Ûªve made from Disney+, only outside estimates."
subjective,I watched *Brazil* again recently and couldn't stop laughing from start to finish.
subjective,I thought it was just brilliant.
Objective,And yet it's pushed in Hollywood corporate boardrooms against the working class people who want freedom and equality.
subjective,"Like Chinese corporate ""communism"", SJW socialism is not about economic equality."
subjective,I had no problems with Gosling at all.
subjective,He did a fantastic job.
subjective,I just can‰Ûªt get into the movie itself.
subjective,"It‰Ûªs almost ‰ÛÏso good, it‰Ûªs bad‰Û for me."
subjective,"Just something about it doesn‰Ûªt sit well with me, but it does for a lot of people."
subjective,"From where we are now, I wouldn't bet on coming back in the spring for most students."
subjective,It will take me a while to drink that in.
subjective,At least I know what my next step is.
subjective,I‰Ûªll mull this over and get back to you.
subjective,"As I said, none of them are particularly great actors in the early days of the franchise."
subjective,The second one was better imo
Objective,"Uhhh, that is what's going to happen later in the semester in one of my classes..."
subjective,Willem Dafoe kills it
Objective,The part about all staff getting tested on Thursday isn't true.
Objective,"At Berk, they give each employee a day to get tested."
subjective,I think the goal is to have some sort of system of rolling tests.
Objective,"Where my gf was stationed, one person got tested Monday, one Tuesday, and one Wednesday."
Objective,But I did hear about the blue wall as well.
Objective,"From what I've heard, UMass might be swapping in full shifts of employees."
Objective,One employee tests positive and a whole new crew gets brought in for a bit or something.
Objective,That's just a rumor I've heard though.
subjective,Thank you for the clarification :)
subjective,While I don‰Ûªt think the plan is amazing I think calling it ‰ÛÏsuicidal‰Û is a little bit overkill.
Objective,Considering that RAs aren‰Ûªt forced to be RAs.
subjective,"I was lucky enough to see it on the big screen in black and white, was baller"
subjective,"Plus it mentions that this hasn‰Ûªt been run through the employee unions, which is a pretty huge roadblock."
subjective,WE ARE THE REVOLUTION!
subjective,So my new comfort movie is The Way Way Back
subjective,"Great concept, bad execution."
Objective,Describes a lot of Netflix originals.
subjective,Laura Francis - tougher class but worth it for when you get to upper levels.
