,Sentences,Categorize,Col,,,
0,Never fail to make me laugh.,subjective,1,,,
1,They made everyone's favorite Doctor Who episode into a movie?,Objective,0,,,
2,Maybe try something that can guess at pronunciation?,subjective,1,,Sub annotator 2 130,Obj annotator 2 119
3,This approach is also good for spell checking.,Objective,0,Sub annotator 1 147,107,39
4,"Some databases even have functions for this, although I'm no exactly sure what it would do with your example.",Objective,0,Obj annotator 1 103,23,80
5,Scorsese has got a few underrated classics.,subjective,1,,,
6,"After hours, Aviator  and last temptation of Christ  are all very good",subjective,1,,,
7,I’ll second the the amount of busywork was insane.,subjective,1,,,
8,It should be an easy class in theory.,subjective,1,,,
9,Would you rather I talk about Secret Life of Pets or Sing?,Objective,0,,,
10,Illumination makes a lot of bad movies,subjective,1,,,
11,Still wearing his mask wrong,Objective,0,,,
12,"Thank you, yupitsGoV, for voting on LimbRetrieval-Bot.",Objective,0,,,
13,This bot wants to find the best and worst bots on Reddit.,Objective,0,,,
14,[You can view results here].,Objective,0,,,
15,"I’m an applicant on contract right now, about to finish freshman year.",Objective,0,,,
16,Also a math major.,Objective,0,,,
17,I have a good idea that I’m going to get into the major based off my grades.,subjective,1,,,
18,Overall it’s your decision and how much risk you’re willing to take.,subjective,1,,,
19,I would say that transferring into the CS major was a lot easier than I thought.,subjective,1,,,
20,"Whichever decision you make, I’m sure you will do just fine.",subjective,1,,,
21,Was this IMAX version ever released in the US?,Objective,0,,,
22,Or is this it?,Objective,0,,,
23,"Good film, I enjoyed it.",subjective,1,,,
24,"Ignore the flak it received, people were canceling this film without even seeing it.",subjective,1,,,
25,"Summing the vectors dimension-wise should work, shouldn’t it?",subjective,1,,,
26,Very interesting and seems very fitting for my use case.,subjective,1,,,
27,"ie the answer just being: ""The Ocean Blue""      I'll need to test a bit.",Objective,0,,,
28,Personally it's always been a technical masterpiece over a film I actively adore.,subjective,1,,,
29,"That said, I watched it a few years ago  and it resonated significantly more.",subjective,1,,,
30,Perhaps I just wasn't mature enough to understand the themes.,subjective,1,,,
31,That's what all of them say before their corpses are at the bottom of the pond.,Objective,0,,,
32,It also introduced teenagers everywhere to Angelina Jolie's boobs.,Objective,0,,,
33,I will research about that too!,Objective,0,,,
34,"Also, if you didn't know,  the last scene  was secretly filmed by Sean Baker on his iPhone.",Objective,0,,,
35,I’ve recommended this to so many people in the last month - just isn’t getting the kudos it deserves!,Objective,0,,,
36,Everything I want out of a movie to be honest,subjective,1,,,
37,You just asked about her husband in another post and its pretty much the same story.,Objective,0,,,
38,"I'm sick of this place trying to defend this softcore child porn ""movie"".",subjective,1,,,
39,Most negative reviews ask the authors to submit the paper and resource to LREC.,Objective,0,,,
40,"Though there is an effort by EMNLP 2020 PCs, ACs to disallow such reviews.",Objective,0,,,
41,Anna Rogers has a good take on this : [[link],subjective,1,,,
42,Looks we have a new contender for [BunnyIpPouch's] replacement!,subjective,1,,,
43,Our break from trash posts is over,subjective,1,,,
44,I work in gorman and there is no algorithm to why which students  get placed where.,Objective,0,,,
45,I think that would be racist.,subjective,1,,,
46,Wheeler has a better community because it is a smaller building.,subjective,1,,,
47,and it has always been that way.,Objective,0,,,
48,If I remember correctly on the commentary they mention this being a cheat.,Objective,0,,,
49,Anyone else notice the billboard in Steve Lifts mansion?,subjective,1,,,
50,Hoping they keep Charles Martinet as Mario.,subjective,1,,,
51,i think 2015 had some pretty strong movies.,subjective,1,,,
52,i'm all biopic'ed out.,subjective,1,,,
53,plus those Oscar bait type movies are getting rewarded over other better movies virtually every year,subjective,1,,,
54,"People think he could be bi based on like... a lot, honestly... but he's never confirmed anything.",Objective,0,,,
55,Ive never been so captivated by a trailer.,subjective,1,,,
56,They truly nailed the atmosphere,subjective,1,,,
57,Maybe it was the first and only one he saw?,Objective,0,,,
58,I didn’t get any change in my account :( at least it’s not adding.,Objective,0,,,
59,When is this stuff supposed to come out by?,Objective,0,,,
60,Not a fan of it tbh.,subjective,1,,,
61,I finally just watched this the other day.,Objective,0,,,
62,I thought it was pretty great and Jeff Brdges and Karen Allen are excellent.,subjective,1,,,
63,Its a like a Sci Fi road movie.,subjective,1,,,
64,The hive battle from Aliens [[link]  Special mention to the sounds of pulse rifles and the motion tracker.,Objective,0,,,
65,I saw their reedit.,Objective,0,,,
66,how long until holland stops playing teenagers in film?,Objective,0,,,
67,I thought this film was great and was very misunderstood.,subjective,1,,,
68,This was the first time I thought both the Rock and Justin Timberlake could act.,subjective,1,,,
69,Also it has Wave Of Mutilation and All These Things That I've Done.,Objective,0,,,
70,Was it the mini series of Dinotopia,Objective,0,,,
71,There's a beautiful scene with her in the shower after the stairwell fight.,subjective,1,,,
72,It foreshadows her final scene in the movie.,Objective,0,,,
73,"International Graphic Novel’s great and really interesting, but you do have to write a 10 page paper",subjective,1,,,
74,Thank you so much.,subjective,1,,,
75,I really appreciate it!,subjective,1,,,
76,I think I actually follow you on GitHub haha :),Objective,0,,,
77,"Yes, i led the second session!",Objective,0,,,
78,When will this be released?,subjective,1,,,
79,Imagine if you'd produced a Bill Cosby biopic 10 years ago...*not the ending we all expected*.,Objective,0,,,
80,I’m on the 1st floor,Objective,0,,,
81,I love this movie!,subjective,1,,,
